,,,
Teties,,,
Cycles,Time,Err,Accuracy
0,0.387,0.066586144,2.9761906
1000,6.768,0.028763887,15.277778
2000,13.154,0.027656982,23.412699
3000,19.517,0.027095916,26.785713
4000,25.898,0.026074003,27.67857
5000,32.263,0.025823459,27.579365
6000,38.628,0.025215369,27.777779
7000,45.058,0.024926597,27.67857
8000,51.465,0.024538962,27.777779
9000,57.838,0.024803042,27.777779
10000,64.135,0.02451219,27.777779
11000,70.528,0.024430985,27.777779
12000,76.929,0.024214065,27.777779
13000,83.254,0.024230275,27.777779
14000,89.597,0.024376363,27.777779
15000,95.962,0.024174146,27.777779
,,,
Teties,,,
Cycles,Time,Err,Accuracy
0,0.388,0.1400433,4.5634923
1000,6.754,0.027965158,16.071428
2000,13.1,0.027357696,20.734127
3000,19.494,0.02753426,18.25397
4000,25.847,0.02684406,22.519842
5000,32.183,0.026600009,25.793652
6000,38.498,0.025935521,25.992064
7000,44.83,0.025976634,26.091269
8000,51.17,0.025218872,26.686508
9000,57.476,0.025139224,26.289684
10000,63.818,0.025051601,26.190477
11000,70.13,0.02486588,26.88492
12000,76.466,0.024669692,26.88492
13000,82.812,0.024671547,26.88492
14000,89.167,0.024611324,27.083334
15000,95.557,0.02472341,26.88492
16000,101.914,0.024431827,27.281746
17000,108.261,0.024410864,27.380953
18000,114.591,0.024398366,27.380953
19000,120.966,0.02453065,27.380953
20000,127.46,0.024261309,27.380953
21000,133.858,0.0242306,27.380953
22000,140.268,0.024291879,27.380953
23000,146.682,0.02434518,27.380953
24000,153.124,0.023936003,27.777779
25000,159.531,0.024118904,27.579365
26000,165.934,0.023941774,27.777779
27000,172.322,0.02398638,27.777779
28000,178.718,0.024032213,27.380953
29000,185.111,0.023909966,27.67857
30000,191.571,0.024113504,27.579365
31000,197.985,0.023979107,27.777779
32000,204.387,0.023947082,27.777779
33000,210.809,0.023941722,27.67857
34000,217.218,0.02387513,27.67857
35000,223.64,0.023985032,27.777779
36000,230.035,0.02367228,27.777779
37000,236.448,0.023762193,27.777779
38000,242.987,0.023838999,27.579365
39000,249.541,0.023618432,27.777779
40000,256.015,0.02345571,27.777779
41000,262.517,0.023484824,27.777779
42000,269.071,0.023592647,27.777779
,,,
Teties,,,
Cycles,Time,Err,Accuracy
0,0.479,0.10691791,0.79365087
1000,42.42,0.030059934,2.8769841
,,,
Teties,,,
Cycles,Time,Err,Accuracy
0,0.426,0.08750028,1.686508
1000,42.204,0.029748414,4.3650794
2000,83.976,0.029564755,6.349207
3000,126.084,0.029424416,6.25
4000,167.958,0.029252121,7.936508
5000,209.776,0.029133959,10.218254
6000,251.579,0.029079655,11.805555
7000,293.655,0.028928848,11.706349
8000,335.421,0.028892003,11.111112
9000,377.118,0.028898971,12.5
10000,419.123,0.028871464,16.269842
11000,461.796,0.02877282,15.376984
12000,503.99,0.028625553,18.15476
13000,546.204,0.028622333,19.642857
14000,588.476,0.028565925,19.146826
15000,630.616,0.02853948,19.543652
16000,672.855,0.02851411,20.436508
17000,714.615,0.028440977,20.337301
18000,756.731,0.028285015,21.825397
19000,799.297,0.028303726,21.527777
20000,841.138,0.028233055,21.72619
21000,882.891,0.028033905,22.718254
22000,925.166,0.027829334,22.619047
23000,967.273,0.02769982,22.420635
24000,1009.124,0.027609363,23.412699
25000,1050.896,0.027518157,24.40476
26000,1092.692,0.027449904,24.107143
27000,1134.699,0.027393254,24.305555
28000,1176.448,0.027296217,24.305555
29000,1218.279,0.027279187,24.603174
30000,1260.055,0.027285332,24.206348
31000,1302.157,0.027149465,24.702381
32000,1344.377,0.027121399,24.801586
33000,1386.62,0.027075725,24.40476
34000,1428.71,0.026945855,25
35000,1470.989,0.026907122,25.099205
36000,1513.354,0.026933076,25.099205
37000,1555.321,0.026870036,25.793652
38000,1597.623,0.0268936,25.694445
39000,1639.815,0.026806364,25.59524
40000,1681.943,0.026787587,25.793652
41000,1723.759,0.026779722,25.694445
42000,1765.294,0.026701324,25.793652
43000,1806.908,0.026587604,25.694445
44000,1848.605,0.026532099,25.892857
